title, info,dateCreated, ratingValue, ratingCount, genres
Invincible Season 2,,Invincible Season 2 2023,"Nov. 24, 2023",10,2,"['Phim Chính Kịch', 'Phim Hành Động', 'Phim Hoạt Hình', 'Phim Viễn Tưởng']"
Bố Nuôi,"Bố Nuôi – Sugar Baby (2023) hai người bạn trung học đã trở thành những đứa trẻ ngọt ngào, hy sinh mọi thứ vì nhau. Cho đến khi tình yêu cản đường",Sugar Baby 2023,"Nov. 24, 2023",7.3,6,"['Phim 18+', 'Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Chàng Quỷ Của Tôi,,My Demon 2023,"Nov. 24, 2023",6.8,4,"['Phim Chính Kịch', 'Phim Netflix', 'Phim Tâm Lý', 'Phim Tình Cảm', 'Phim Viễn Tưởng']"
Tết Ở Làng Địa Ngục,,Tet O Lang Dia Nguc 2023,"Nov. 24, 2023",9.3,"1,293","['Phim Bí Ẩn', 'Phim Chính Kịch', 'Phim Kịch Tính', 'Phim Kinh Dị', '']"
Cám Dỗ Thiêu Đốt,Cám Dỗ Thiêu Đốt – Litsoneras (2023) kể về Elria phát hiện ra mẹ cô là Minerva đang ngoại tình với nhân viên của họ tên là Jonas. Cô lên kế hoạch đen tối để phá vỡ mối quan hệ của họ mà không biết mình sẽ bị cám dỗ thiêu đốt.,Litsoneras 2023,"Nov. 22, 2023",7.4,5,"['Phim 18+', 'Phim Chính Kịch', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Giàu Xổi,Giàu Xổi – All-Time High (2023) bậc thầy lừa đảo đang rất cần tiền và người phụ nữ có khối tài sản tiền điện tử trở nên tâm đầu ý hợp. Liệu cô là người phụ nữ trong mơ của anh hay là kẻ lừa đảo sắp bị lừa?,All Time High 2023,"Nov. 21, 2023",8.5,4,"['Phim Chính Kịch', 'Phim Hài', 'Phim Tâm Lý', 'Phim Tình Cảm']"
Kim Xà Phu Nhân,"Kim Xà Phu Nhân – Snaker in Golden (2023) cách đây vài năm, môn phái trừ yêu Ngự Kiếm Các, đã phong ấn nữ hoàng yêu ma mạnh nhất – Hoàng Xà Nữ Vương. Vài năm sau, thanh kiếm thần phong ấn Hoàng Xà Nữ Vương đã bị đánh cắp, và Hoàng Xà Nữ Vương dần hồi sinh. Tiểu yêu bảo vệ thần kiếm Khúc Linh, hợp tác với Đại đồ đệ Doanh Hiệp Cốc, Biên Tiểu Nhai, để tìm lại thanh kiếm thần và phong ấn Hoàng Xà Nữ Vương một lần nữa.",Snaker in Golden 2023,"Nov. 20, 2023",5.7,9,"['Phim Bí Ẩn', 'Phim Cổ Trang', 'Phim Kịch Tính', 'Phim Kinh Dị', 'Phim Viễn Tưởng']"
Kiến Quái,"Kiến Quái – Detrimental (2023) năm 2070, một công nhân mù mắc kẹt trên hòn đảo bị bão tàn phá. Vậy là anh phải một mình sống sót và trốn tránh đám quái vật ẩn nấp trong bóng tối.",Detrimental 2023,"Nov. 19, 2023",2.9,7,"['Phim Hành Động', 'Phim Kịch Tính', 'Phim Kinh Dị']"
Độc Chiến 2,Độc Chiến 2 – Believer 2 (2023) một thanh tra kiên định tiếp tục tìm kiếm sự thật đằng sau tổ chức ma túy lớn nhất châu Á và ông trùm giấu mặt – kẻ vẫn còn ân oán dang dở với anh.,Believer 2 2023,"Nov. 18, 2023",8.8,5,"['Phim Hành Động', 'Phim Hình Sự', 'Phim Kịch Tính', 'Phim Netflix']"
Giao Kèo Nỗi Đau,"Giao Kèo Nỗi Đau – Pain Hustlers (2023) nghèo nhưng tham vọng, người mẹ đơn thân nọ có cơ hội béo bở trong việc bán dược phẩm. Nhưng cô sẽ sẵn sàng làm những gì để loại thuốc giảm đau mới cực mạnh trở nên thành công?",Pain Hustlers 2023,"Nov. 18, 2023",8,3,"['Phim Chính Kịch', 'Phim Hình Sự']"
